system,operations,time_ms,ops_per_sec,memory_mb,final_length
Loro,1000,11,90909.1,0.18,964
Loro,5000,21,238095.2,0.22,3472
Loro,10000,28,357142.9,0.43,6980
Loro,20000,49,408163.3,0.63,14302
Loro,30000,77,389610.4,0.7,19252
Loro,40000,121,330578.5,254.49,24700
Loro,50000,126,396825.4,0.04,32800
