system,operations,time_ms,ops_per_sec,memory_mb,insert_ops,delete_ops,final_length
MArrayCRDT,1000,79.8,12535.5,1.12,981,18,971
MArrayCRDT,5000,1618.4,3089.4,5.27,4235,764,3545
MArrayCRDT,10000,6577.5,1520.3,9.87,8489,1510,7115
MArrayCRDT,20000,30004.8,666.6,18.85,17150,2849,14544
MArrayCRDT,30000,63791.3,470.3,26.12,24625,5374,19624
MArrayCRDT,40000,121877.3,328.2,35.28,32349,7650,25249
MArrayCRDT,50000,242287.6,206.4,46.34,41399,8600,33505
