system,operations,time_ms,ops_per_sec,memory_mb,final_length
Automerge,1000,127,7874,0.05,964
Automerge,5000,377,13263,0.25,3472
Automerge,10000,1032,9690,0.49,6980
Automerge,20000,3194,6262,0.98,14302
Automerge,30000,8020,3741,1.47,19252
Automerge,40000,17861,2240,1.95,24700
Automerge,50000,27112,1844,2.45,32800
